Category_ID,Category_Title,Category_Handle,Category_URL,Products_Count,Description,Published_At
451618046177,Aaraya,aaraya,https://theperfectgift.ae/collections/aaraya,70,,2024-12-12T11:42:15+04:00
245223456957,All Flowers,flowers,https://theperfectgift.ae/collections/flowers,176,,2021-02-20T14:48:33+04:00
245233025213,Angel's Collection,angels-collection,https://theperfectgift.ae/collections/angels-collection,8,,2021-02-20T16:30:43+04:00
260575101117,Anniversary,anniversary,https://theperfectgift.ae/collections/anniversary,176,,2021-02-25T20:25:57+04:00
245166932157,Baby / New Born Balloons,baby-balloons,https://theperfectgift.ae/collections/baby-balloons,188,,2021-02-20T03:35:37+04:00
245038055613,Baby Gifts,baby-gifts-dubai,https://theperfectgift.ae/collections/baby-gifts-dubai,156,,2021-02-18T18:28:13+04:00
260605477053,Baby Shower / Gender Reveal Decor,baby-shower-decor,https://theperfectgift.ae/collections/baby-shower-decor,179,,2021-02-26T01:16:23+04:00
471436787937,Balloon Cake,balloon-birthday-cake-dubai,https://theperfectgift.ae/collections/balloon-birthday-cake-dubai,31,,2025-09-27T19:40:18+04:00
245165293757,Balloons,balloons,https://theperfectgift.ae/collections/balloons,52,,2021-02-20T03:29:33+04:00
470522659041,Baptism / First Communion Cake,baptism-cake-dubai,https://theperfectgift.ae/collections/baptism-cake-dubai,28,,2025-09-16T13:05:15+04:00
244791443645,Best Selling Gifts,homepage,https://theperfectgift.ae/collections/homepage,14,,2021-02-15T22:18:15+04:00
245038088381,Birthday,birthday-gifts-dubai,https://theperfectgift.ae/collections/birthday-gifts-dubai,231,,2021-02-18T18:28:35+04:00
245166997693,Birthday Balloons,birthday-balloons-dubai,https://theperfectgift.ae/collections/birthday-balloons-dubai,208,,2021-02-20T03:35:57+04:00
443584381153,Birthday Banners,birthday-banners,https://theperfectgift.ae/collections/birthday-banners,10,,2024-08-25T17:55:08+04:00
463405809889,Birthday Cake with Ribbon Bows,birthday-cake-with-ribbon-bows-dubai,https://theperfectgift.ae/collections/birthday-cake-with-ribbon-bows-dubai,17,,2025-06-02T20:48:42+04:00
245223129277,Birthday Cakes,birthday-cake-dubai,https://theperfectgift.ae/collections/birthday-cake-dubai,122,,2021-02-20T14:39:08+04:00
443582939361,Birthday Candles,birthday-candles,https://theperfectgift.ae/collections/birthday-candles,16,,2024-08-25T17:12:35+04:00
260605378749,Birthday Venue Decor,birthday-venue-decor,https://theperfectgift.ae/collections/birthday-venue-decor,114,,2021-02-26T01:15:35+04:00
260596367549,Breast Cancer - Pink Ribbon,breast-cancer-pink-ribbon,https://theperfectgift.ae/collections/breast-cancer-pink-ribbon,121,,2021-02-25T22:42:06+04:00
484025893089,Butterfly Bouquet,butterfly-bouquet-gifts-dubai,https://theperfectgift.ae/collections/butterfly-bouquet-gifts-dubai,4,,2026-03-20T18:16:02+04:00
471437541601,Butterfly Cake,butterfly-cake-dubai,https://theperfectgift.ae/collections/butterfly-cake-dubai,25,,2025-09-27T20:11:29+04:00
468398735585,Cake for Baby Shower / Gender Reveal,cake-for-baby-shower-gender-reveal,https://theperfectgift.ae/collections/cake-for-baby-shower-gender-reveal,78,,2025-08-19T16:31:33+04:00
415479595233,Cake for Children / Kids,birthday-cake-for-children-kids-dubai,https://theperfectgift.ae/collections/birthday-cake-for-children-kids-dubai,247,,2023-05-24T18:51:16+04:00
